population_year,population_region,population,population_type
2013,lakshadweep,34,male
2014,lakshadweep,34,male
2015,lakshadweep,34,male
2016,lakshadweep,34,male
2017,lakshadweep,34,male
2018,lakshadweep,35,male
2019,lakshadweep,35,male
2020,lakshadweep,35,male
2021,lakshadweep,35,male
2011,lakshadweep,31,female
2012,lakshadweep,32,female
2013,lakshadweep,32,female
2014,lakshadweep,32,female
2015,lakshadweep,32,female
2016,lakshadweep,32,female
2017,lakshadweep,32,female
2018,lakshadweep,33,female
2019,lakshadweep,33,female
2020,lakshadweep,33,female
2021,lakshadweep,33,female
2011,puducherry,1248,total
2012,puducherry,1279,total
2013,puducherry,1310,total
2014,puducherry,1340,total
2015,puducherry,1371,total
2016,puducherry,1402,total
2017,puducherry,1436,total
2018,puducherry,1470,total
2019,puducherry,1504,total
2020,puducherry,1537,total
2021,puducherry,1571,total
2011,puducherry,613,male
2012,puducherry,626,male
2013,puducherry,640,male
2014,puducherry,653,male
2015,puducherry,667,male
2016,puducherry,680,male
2017,puducherry,695,male
2018,puducherry,709,male
2019,puducherry,724,male
2020,puducherry,738,male
2021,puducherry,753,male
2011,puducherry,635,female
2012,puducherry,653,female
2013,puducherry,670,female
2014,puducherry,687,female
2015,puducherry,704,female
2016,puducherry,722,female
2017,puducherry,741,female
2018,puducherry,760,female
2019,puducherry,780,female
2020,puducherry,799,female
2021,puducherry,819,female
2011,"andaman and nicobar
 islands",381,total
2012,"andaman and nicobar
 islands",383,total
2013,"andaman and nicobar
 islands",385,total
2014,"andaman and nicobar
 islands",387,total
2015,"andaman and nicobar
 islands",390,total
2016,"andaman and nicobar
 islands",392,total
2017,"andaman and nicobar
 islands",394,total
2018,"andaman and nicobar
 islands",395,total
2019,"andaman and nicobar
 islands",397,total
2020,"andaman and nicobar
 islands",399,total
2021,"andaman and nicobar
 islands",400,total
2011,"andaman and nicobar
 islands",203,male
2012,"andaman and nicobar
 islands",204,male
2013,"andaman and nicobar
 islands",205,male
2014,"andaman and nicobar
 islands",206,male
2015,"andaman and nicobar
 islands",207,male
2016,"andaman and nicobar
 islands",208,male
2017,"andaman and nicobar
 islands",208,male
2018,"andaman and nicobar
 islands",209,male
2019,"andaman and nicobar
 islands",210,male
2020,"andaman and nicobar
 islands",211,male
2021,"andaman and nicobar
 islands",211,male
2011,"andaman and nicobar
 islands",178,female
2012,"andaman and nicobar
 islands",179,female
2013,"andaman and nicobar
 islands",180,female
2014,"andaman and nicobar
 islands",182,female
2015,"andaman and nicobar
 islands",183,female
2016,"andaman and nicobar
 islands",184,female
2017,"andaman and nicobar
 islands",185,female
2018,"andaman and nicobar
 islands",186,female
2019,"andaman and nicobar
 islands",187,female
2020,"andaman and nicobar
 islands",188,female
2021,"andaman and nicobar
 islands",189,female
2011,telangana,35004,total
2012,telangana,35295,total
2013,telangana,35587,total
2014,telangana,35878,total
2015,telangana,36170,total
2016,telangana,36462,total
2017,telangana,36714,total
2018,telangana,36967,total
2019,telangana,37220,total
2020,telangana,37473,total
2021,telangana,37725,total
2011,telangana,17612,male
2012,telangana,17758,male
2013,telangana,17905,male
2014,telangana,18052,male
2015,telangana,18199,male
2016,telangana,18346,male
2017,telangana,18472,male
2018,telangana,18599,male
2019,telangana,18725,male
2020,telangana,18852,male
2021,telangana,18978,male
2011,telangana,17392,female
2012,telangana,17537,female
2013,telangana,17682,female
2014,telangana,17826,female
2015,telangana,17971,female
2016,telangana,18116,female
2017,telangana,18242,female
2018,telangana,18368,female
2019,telangana,18495,female
2020,telangana,18621,female
2021,telangana,18747,female
2011,ladakh,274,total
2012,ladakh,277,total
2013,ladakh,279,total
2014,ladakh,282,total
2015,ladakh,285,total
2016,ladakh,287,total
2017,ladakh,289,total
2018,ladakh,291,total
2019,ladakh,293,total
2020,ladakh,295,total
2021,ladakh,297,total
2011,ladakh,157,male
2012,ladakh,158,male
2013,ladakh,159,male
2014,ladakh,160,male
2015,ladakh,162,male
2016,ladakh,163,male
2017,ladakh,164,male
2018,ladakh,164,male
2019,ladakh,165,male
2020,ladakh,166,male
2021,ladakh,167,male
2011,ladakh,118,female
2012,ladakh,119,female
2013,ladakh,120,female
2014,ladakh,122,female
2015,ladakh,123,female
2016,ladakh,125,female
2017,ladakh,126,female
2018,ladakh,127,female
2019,ladakh,128,female
2020,ladakh,129,female
2021,ladakh,130,female
