state_name,cases,cured,active,deaths,district_name,district_cases,district_cured,district_active,district_deaths,state_IFR,district_IFR,state_CFR,district_CFR,state_CFR_CURRENT,district_CFR_CURRENT
chhattisgarh,52932,23938,28517,477,kabeerdham,724,301,419,4,1.67,0.95,0.9,0.55,1.95,1.31
chhattisgarh,52932,23938,28517,477,dhamtari,717,307,408,2,1.67,0.49,0.9,0.28,1.95,0.65
chhattisgarh,52932,23938,28517,477,narayanpur,677,531,146,0,1.67,0.0,0.9,0.0,1.95,0.0
chhattisgarh,52932,23938,28517,477,koriya,656,334,315,7,1.67,2.22,0.9,1.07,1.95,2.05
chhattisgarh,52932,23938,28517,477,jashpur,634,438,194,2,1.67,1.03,0.9,0.32,1.95,0.45
chhattisgarh,52932,23938,28517,477,surajpur,630,307,319,4,1.67,1.25,0.9,0.63,1.95,1.29
chhattisgarh,52932,23938,28517,477,dakshin bastar dantewada,595,274,318,3,1.67,0.94,0.9,0.5,1.95,1.08
chhattisgarh,52932,23938,28517,477,bametara,565,410,150,5,1.67,3.33,0.9,0.88,1.95,1.2
chhattisgarh,52932,23938,28517,477,gariaband,561,376,180,5,1.67,2.78,0.9,0.89,1.95,1.31
chhattisgarh,52932,23938,28517,477,mungeli,527,303,224,0,1.67,0.0,0.9,0.0,1.95,0.0
chhattisgarh,52932,23938,28517,477,kondagaon,516,279,236,1,1.67,0.42,0.9,0.19,1.95,0.36
chhattisgarh,52932,23938,28517,477,balrampur,488,307,180,1,1.67,0.56,0.9,0.2,1.95,0.32
chhattisgarh,52932,23938,28517,477,other state,114,40,63,11,1.67,17.46,0.9,9.65,1.95,21.57
chhattisgarh,52932,23938,28517,477,gaurela pendra marwahi,79,34,45,0,1.67,0.0,0.9,0.0,1.95,0.0
jammu and kashmir,49134,34215,14074,845,srinagar,10980,9097,1637,246,6.0,15.03,1.72,2.24,2.41,2.63
jammu and kashmir,49134,34215,14074,845,jammu,7282,2424,4783,75,6.0,1.57,1.72,1.03,2.41,3.0
jammu and kashmir,49134,34215,14074,845,budgam,3278,2214,996,68,6.0,6.83,1.72,2.07,2.41,2.98
jammu and kashmir,49134,34215,14074,845,baramulla,3274,2410,754,110,6.0,14.59,1.72,3.36,2.41,4.37
jammu and kashmir,49134,34215,14074,845,pulwama,3035,2499,476,60,6.0,12.61,1.72,1.98,2.41,2.34
jammu and kashmir,49134,34215,14074,845,anantnag,2762,2032,677,53,6.0,7.83,1.72,1.92,2.41,2.54
jammu and kashmir,49134,34215,14074,845,kupwara,2609,1720,833,56,6.0,6.72,1.72,2.15,2.41,3.15
jammu and kashmir,49134,34215,14074,845,bandipora,2558,1858,673,27,6.0,4.01,1.72,1.06,2.41,1.43
jammu and kashmir,49134,34215,14074,845,kulgam,2041,1892,109,40,6.0,36.7,1.72,1.96,2.41,2.07
jammu and kashmir,49134,34215,14074,845,ganderbal,1933,1393,515,25,6.0,4.85,1.72,1.29,2.41,1.76
jammu and kashmir,49134,34215,14074,845,shopiyan,1797,1663,105,29,6.0,27.62,1.72,1.61,2.41,1.71
jammu and kashmir,49134,34215,14074,845,rajouri,1217,827,376,14,6.0,3.72,1.72,1.15,2.41,1.66
jammu and kashmir,49134,34215,14074,845,kathua,1205,835,359,11,6.0,3.06,1.72,0.91,2.41,1.3
jammu and kashmir,49134,34215,14074,845,udhampur,1194,762,428,4,6.0,0.93,1.72,0.34,2.41,0.52
jammu and kashmir,49134,34215,14074,845,samba,935,605,323,7,6.0,2.17,1.72,0.75,2.41,1.14
jammu and kashmir,49134,34215,14074,845,ramban,736,652,83,1,6.0,1.2,1.72,0.14,2.41,0.15
jammu and kashmir,49134,34215,14074,845,punch,679,388,285,6,6.0,2.11,1.72,0.88,2.41,1.52
jammu and kashmir,49134,34215,14074,845,doda,639,387,243,9,6.0,3.7,1.72,1.41,2.41,2.27
jammu and kashmir,49134,34215,14074,845,reasi,535,346,186,3,6.0,1.61,1.72,0.56,2.41,0.86
jammu and kashmir,49134,34215,14074,845,kishtwar,445,211,233,1,6.0,0.43,1.72,0.22,2.41,0.47
jammu and kashmir,49134,34215,14074,845,muzaffarabad,0,0,0,0,6.0,0.0,1.72,0.0,2.41,0.0
jammu and kashmir,49134,34215,14074,845,mirpur,0,0,0,0,6.0,0.0,1.72,0.0,2.41,0.0
uttarakhand,27211,18262,8500,372,dehradun,6116,3736,2169,181,4.38,8.34,1.37,2.96,2.0,4.62
uttarakhand,27211,18262,8500,372,haridwar,5832,4386,1372,58,4.38,4.23,1.37,0.99,2.0,1.31
uttarakhand,27211,18262,8500,372,udham singh nagar,4948,3587,1310,39,4.38,2.98,1.37,0.79,2.0,1.08
uttarakhand,27211,18262,8500,372,nainital,3577,2344,1160,71,4.38,6.12,1.37,1.98,2.0,2.94
uttarakhand,27211,18262,8500,372,tehri garhwal,1611,1118,491,2,4.38,0.41,1.37,0.12,2.0,0.18
uttarakhand,27211,18262,8500,372,uttarkashi,1186,853,329,3,4.38,0.91,1.37,0.25,2.0,0.35
uttarakhand,27211,18262,8500,372,pauri garhwal,937,442,474,10,4.38,2.11,1.37,1.07,2.0,2.21
uttarakhand,27211,18262,8500,372,almora,813,526,284,2,4.38,0.7,1.37,0.25,2.0,0.38
uttarakhand,27211,18262,8500,372,champawat,491,233,256,2,4.38,0.78,1.37,0.41,2.0,0.85
uttarakhand,27211,18262,8500,372,pithoragarh,487,273,212,2,4.38,0.94,1.37,0.41,2.0,0.73
uttarakhand,27211,18262,8500,372,chamoli,466,326,137,0,4.38,0.0,1.37,0.0,2.0,0.0
uttarakhand,27211,18262,8500,372,rudraprayag,416,213,201,1,4.38,0.5,1.37,0.24,2.0,0.47
uttarakhand,27211,18262,8500,372,bageshwar,331,225,105,1,4.38,0.95,1.37,0.3,2.0,0.44
